"","Gene","P_value","Gene","P_value","Gene","P_value","Gene","P_value","Gene","P_value"
"CD247","CD247",0.562252329789044,"CD3G",0.0488619900165144,"GRAP2",0.471967097652127,"MAP3K14",0.208929640793961,"THEM4",0.237993520525849
"CD274","CD274",0.169241783839134,"CD4",0.575020639409435,"HLA-DPA1",1.09394978588703e-06,"MTOR",0.534717477853583,"TRIB3",0.553286605805835
"CD28","CD28",0.146324752643302,"CD80",0.978913909082704,"HLA-DPB1",3.83508620381298e-12,"PDCD1",0.000126226476133983,"VAV1",0.221953768365377
"CD3D","CD3D",0.0624330551470698,"CD86",0.0843627455777122,"ICOS",0.690893845633453,"PDCD1LG2",0.358260796784031,NA,NA
"CD3E","CD3E",0.0955535510834576,"CTLA4",0.169121046973091,"LCK",0.0985813677004663,"PTPN6",0.00698361499385291,NA,NA
